,Building,Floor,time,Associated Client Count,Authenticated Client Count
0, Physics , C Floor,2018-11-01 00:02:07,7,7
84, Physics , D Floor,2018-11-01 00:02:07,1,1
93, Postgrad Stats (PSC) , A Floor,2018-11-01 00:02:07,0,0
81, Postgrad Stats (PSC) , B Floor,2018-11-01 00:02:07,2,2
107, Preschool , A floor,2018-11-01 00:02:07,34,34
164, Reception , A floor,2018-11-01 00:02:07,0,0
151, Reception , B floor,2018-11-01 00:02:07,1,0
31, Ruskin Library , A Floor,2018-11-01 00:02:07,0,0
64, Ruskin Library , B floor,2018-11-01 00:02:07,0,0
95, Ruskin Library , LG Floor,2018-11-01 00:02:07,0,0
62, SW hse 12-16 , A floor,2018-11-01 00:02:07,56,54
234, SW hse 12-16 , B floor,2018-11-01 00:02:07,96,96
245, SW hse 12-16 , C floor,2018-11-01 00:02:07,116,115
159, SW hse 17-19 , A floor,2018-11-01 00:02:07,50,50
128, SW hse 17-19 , B floor,2018-11-01 00:02:07,81,80
119, SW hse 17-19 , C floor,2018-11-01 00:02:07,56,55
47, SW hse 20 , A floor,2018-11-01 00:02:07,11,11
39, SW hse 20 , B floor,2018-11-01 00:02:07,27,26
246, SW hse 20 , C floor,2018-11-01 00:02:07,20,17
57, SW hse 21-23 , A floor,2018-11-01 00:02:07,40,40
12, SW hse 21-23 , B floor,2018-11-01 00:02:07,28,28
177, SW hse 21-23 , C,2018-11-01 00:02:07,35,35
206, SW hse 21-23 , C,2018-11-01 00:02:07,35,35
108, SW hse 24-26 , A,2018-11-01 00:02:07,27,27
134, SW hse 24-26 , B floor,2018-11-01 00:02:07,40,39
118, SW hse 24-26 , C floor,2018-11-01 00:02:07,53,53
73, SW hse 24-26 , D Floor,2018-11-01 00:02:07,35,35
188, SW hse 27-28 , A floor,2018-11-01 00:02:07,20,20
15, SW hse 27-28 , B floor,2018-11-01 00:02:07,46,45
21, SW hse 27-28 , C floor,2018-11-01 00:02:07,32,31
146, SW hse 27-28 , D Floor,2018-11-01 00:02:07,35,33
226, SW hse 29 , A floor,2018-11-01 00:02:07,20,20
122, SW hse 29 , B floor,2018-11-01 00:02:07,27,27
190, SW hse 29 , C floor,2018-11-01 00:02:07,29,29
165, SW hse 29 , D Floor,2018-11-01 00:02:07,29,28
205, SW hse 30-31 , A floor,2018-11-01 00:02:07,31,31
181, SW hse 30-31 , B floor,2018-11-01 00:02:07,49,49
97, SW hse 30-31 , C floor,2018-11-01 00:02:07,59,58
131, SW hse 30-31 , D floor,2018-11-01 00:02:07,69,68
198, SW hse 32-33 , A Floor,2018-11-01 00:02:07,19,19
72, SW hse 32-33 , B Floor,2018-11-01 00:02:07,45,45
213, SW hse 32-33 , C Floor,2018-11-01 00:02:07,34,34
142, SW hse 32-33 , D Floor,2018-11-01 00:02:07,13,13
225, SW hse 34 , A Floor,2018-11-01 00:02:07,7,7
259, SW hse 34 , B Floor,2018-11-01 00:02:07,13,13
52, SW hse 35 , A Floor,2018-11-01 00:02:07,13,13
74, SW hse 35 , B Floor,2018-11-01 00:02:07,12,11
157, SW hse 35 , C Floor,2018-11-01 00:02:07,15,15
70, SW hse 36 , A Floor,2018-11-01 00:02:07,3,3
212, SW hse 36 , B Floor,2018-11-01 00:02:07,19,19
60, SW hse 36 , C Floor,2018-11-01 00:02:07,19,17
18, SW hse 36 , D Floor,2018-11-01 00:02:07,18,18
214, SW hse 37-38 , A Floor,2018-11-01 00:02:07,21,19
140, SW hse 37-38 , B Floor,2018-11-01 00:02:07,28,27
114, SW hse 37-38 , C Floor,2018-11-01 00:02:07,30,30
106, SW hse 37-38 , D Floor,2018-11-01 00:02:07,23,23
54, SW hse 39 , A Floor,2018-11-01 00:02:07,13,13
30, SW hse 39 , B Floor,2018-11-01 00:02:07,15,15
55, SW hse 39 , C Floor,2018-11-01 00:02:07,26,26
203, SW hse 39 , D Floor,2018-11-01 00:02:07,13,13
115, SW hse 40-42 , A Floor,2018-11-01 00:02:07,33,31
168, SW hse 40-42 , B Floor,2018-11-01 00:02:07,58,56
252, SW hse 40-42 , C Floor,2018-11-01 00:02:07,66,66
162, SW hse 40-42 , D Floor,2018-11-01 00:02:07,29,28
182, SW hse 43-45 , A Floor,2018-11-01 00:02:07,30,30
111, SW hse 43-45 , B Floor,2018-11-01 00:02:07,43,43
9, SW hse 43-45 , C Floor,2018-11-01 00:02:07,58,57
79, SW hse 43-45 , D Floor,2018-11-01 00:02:07,34,33
175, SW hse 46-49 , A floor,2018-11-01 00:02:07,43,43
253, SW hse 46-49 , B floor,2018-11-01 00:02:07,71,70
13, SW hse 46-49 , C floor,2018-11-01 00:02:07,76,74
242, SW hse 46-49 , D floor,2018-11-01 00:02:07,60,57
88, SW hse 50-52 , A Floor,2018-11-01 00:02:07,44,44
238, SW hse 50-52 , B Floor,2018-11-01 00:02:07,52,48
25, SW hse 50-52 , C Floor,2018-11-01 00:02:07,74,73
127, SW hse 50-52 , D Floor,2018-11-01 00:02:07,35,35
44, SW hse 53-54 , A Floor,2018-11-01 00:02:07,11,11
183, SW hse 53-54 , B Floor,2018-11-01 00:02:07,20,20
208, SW hse 53-54 , C Floor,2018-11-01 00:02:07,28,28
150, SW hse 53-54 , D Floor,2018-11-01 00:02:07,22,22
166, SW hse 55-56 , A Floor,2018-11-01 00:02:07,23,22
240, SW hse 55-56 , B Floor,2018-11-01 00:02:07,39,39
255, SW hse 55-56 , C Floor,2018-11-01 00:02:07,26,25
46, SW hse-158-179 , B floor,2018-11-01 00:02:07,86,85
2, Science and technology , A Floor,2018-11-01 00:02:07,15,14
186, Science and technology , B Floor,2018-11-01 00:02:07,3,3
22, Science and technology , C Floor,2018-11-01 00:02:07,10,8
163, Slaidburn House (LUSU) , B Floor,2018-11-01 00:02:07,11,10
256, Slaidburn House (LUSU) , C floor,2018-11-01 00:02:07,16,16
174, Slaidburn House (LUSU) , D floor,2018-11-01 00:02:07,9,9
133, Slaidburn House (LUSU) , E floor,2018-11-01 00:02:07,13,13
224, Slaidburn House (LUSU) , LG Floor,2018-11-01 00:02:07,19,19
210, Sports Centre , A floor,2018-11-01 00:02:07,2,2
172, Sports Centre , B floor,2018-11-01 00:02:07,0,0
130, University House , A Floor,2018-11-01 00:02:07,2,2
116, University House , B Floor,2018-11-01 00:02:07,1,1
109, University House , C Floor,2018-11-01 00:02:07,3,3
125, University House , D Floor,2018-11-01 00:02:07,1,1
42, Whewell , A Floor,2018-11-01 00:02:07,0,0
216, Whewell , B Floor,2018-11-01 00:02:07,2,2
232, grize-res , A Floor,2018-11-01 00:02:07,74,70
77, grize-res , B Floor,2018-11-01 00:02:07,96,96
201, grize-res , C Floor,2018-11-01 00:02:07,101,100
249, grize-res , D Floor,2018-11-01 00:02:07,104,104
483, Alex Square , Alex Square,2018-11-01 00:07:23,6,5
301, Alex Square , Costa,2018-11-01 00:07:23,11,10
330, Bailrigg House , A floor,2018-11-01 00:07:23,0,0
388, Bailrigg House , B floor,2018-11-01 00:07:23,0,0
464, Bailrigg House , c floor,2018-11-01 00:07:23,0,0
472, Barker House Farm , A Floor,2018-11-01 00:07:23,4,4
380, Bowland Annexe , A Floor,2018-11-01 00:07:23,1,1
438, Bowland Annexe , B Floor,2018-11-01 00:07:23,3,3
414, Bowland Annexe , c floor,2018-11-01 00:07:23,28,28
378, Bowland Annexe , d floor,2018-11-01 00:07:23,27,27
474, Bowland Ash , A floor,2018-11-01 00:07:23,5,5
427, Bowland Ash , B floor,2018-11-01 00:07:23,16,16
479, Bowland Ash , c floor,2018-11-01 00:07:23,28,28
455, Bowland Ash , d floor,2018-11-01 00:07:23,28,27
269, Bowland Main , A Floor,2018-11-01 00:07:23,6,6
493, Bowland Main , B Floor,2018-11-01 00:07:23,17,16
333, Bowland Main , C Floor,2018-11-01 00:07:23,73,73
318, Bowland Main , D Floor,2018-11-01 00:07:23,22,22
310, Bowland North , A Floor,2018-11-01 00:07:23,0,0
399, Bowland North , B Floor,2018-11-01 00:07:23,0,0
457, Bowland North , C Floor,2018-11-01 00:07:23,5,5
276, Bowland North , d floor,2018-11-01 00:07:23,21,21
360, Bowland Twr (Old Bowland Annexe) , A floor,2018-11-01 00:07:23,0,0
376, Bowland Twr (Old Bowland Annexe) , B floor,2018-11-01 00:07:23,24,23
519, Bowland Twr (Old Bowland Annexe) , C floor,2018-11-01 00:07:23,39,39
485, Bowland Twr (Old Bowland Annexe) , D floor,2018-11-01 00:07:23,6,6
332, Bowland Twr (Old Bowland Annexe) , D floor flats,2018-11-01 00:07:23,3,3
442, Bowland Twr (Old Bowland Annexe) , E floor,2018-11-01 00:07:23,5,5
403, Bowland Twr (Old Bowland Annexe) , F floor,2018-11-01 00:07:23,9,9
490, Bowland Twr (Old Bowland Annexe) , G floor,2018-11-01 00:07:23,2,2
444, Bowland Twr (Old Bowland Annexe) , H floor,2018-11-01 00:07:23,7,7
372, Bowland Twr (Old Bowland Annexe) , J floor,2018-11-01 00:07:23,10,10
264, Bowland Twr (Old Bowland Annexe) , K floor,2018-11-01 00:07:23,7,7
495, Bowland Twr (Old Bowland Annexe) , L floor,2018-11-01 00:07:23,8,8
468, Bowland Twr (Old Bowland Annexe) , M floor,2018-11-01 00:07:23,3,3
268, Bowland Twr (Old Bowland Annexe) , N floor,2018-11-01 00:07:23,3,3
287, Bowland Twr (Old Bowland Annexe) , O floor,2018-11-01 00:07:23,6,6
402, Bowland hall , a floor,2018-11-01 00:07:23,55,54
357, Bowland hall , b floor,2018-11-01 00:07:23,59,58
449, Bowland hall , c floor,2018-11-01 00:07:23,73,73
412, Bowland hall , d floor,2018-11-01 00:07:23,66,66
369, CETAD , A floor,2018-11-01 00:07:23,1,1
446, CETAD , B floor,2018-11-01 00:07:23,1,1
410, Central Workshops , A floor,2018-11-01 00:07:23,21,20
356, Central Workshops , B floor,2018-11-01 00:07:23,0,0
329, Chaplaincy Centre , A Floor,2018-11-01 00:07:23,2,2
406, Chaplaincy Centre , B Floor,2018-11-01 00:07:23,0,0
454, Charles Carter , A floor,2018-11-01 00:07:23,7,2
395, Charles Carter , B floor,2018-11-01 00:07:23,0,0
266, Charles Carter , C floor,2018-11-01 00:07:23,0,0
408, Charles Carter , D floor,2018-11-01 00:07:23,6,6
429, Conference Centre , A Floor,2018-11-01 00:07:23,4,4
503, County , A Floor,2018-11-01 00:07:23,14,14
371, County , B Floor,2018-11-01 00:07:23,24,24
271, County , D floor,2018-11-01 00:07:23,49,46
401, County , E Floor,2018-11-01 00:07:23,23,23
462, County , c floor,2018-11-01 00:07:23,30,30
387, County Field , A floor,2018-11-01 00:07:23,59,59
309, County Field , B floor,2018-11-01 00:07:23,62,61
496, County Field , C floor,2018-11-01 00:07:23,68,67
510, County Field , D floor,2018-11-01 00:07:23,83,83
351, County South/Cartmel , A Floor,2018-11-01 00:07:23,7,7
521, County South/Cartmel , B Floor,2018-11-01 00:07:23,3,2
500, County South/Cartmel , C Floor,2018-11-01 00:07:23,5,5
497, County South/Cartmel , D Floor,2018-11-01 00:07:23,13,13
385, County South/Cartmel , e floor,2018-11-01 00:07:23,8,7
498, Energy Centre , A floor,2018-11-01 00:07:23,0,0
305, Engineering , A floor,2018-11-01 00:07:23,1,1
466, Engineering , B floor,2018-11-01 00:07:23,1,1
289, Engineering , C floor,2018-11-01 00:07:23,3,3
280, Engineering , D floor,2018-11-01 00:07:23,1,1
375, Engineering , Plant,2018-11-01 00:07:23,0,0
352, FU Hse 71-74 , A Floor,2018-11-01 00:07:23,38,38
507, FU Hse 71-74 , B Floor,2018-11-01 00:07:23,69,67
361, FU Hse 71-74 , C Floor,2018-11-01 00:07:23,69,69
284, FU Hse 71-74 , D Floor,2018-11-01 00:07:23,106,104
294, FU Hse 71-74 , E Floor,2018-11-01 00:07:23,70,69
450, FU Hse 71-74 , F Floor,2018-11-01 00:07:23,27,27
440, FY Hse 65-70 , A Floor,2018-11-01 00:07:23,60,58
514, FY Hse 65-70 , B Floor,2018-11-01 00:07:23,91,91
478, FY Hse 65-70 , C Floor,2018-11-01 00:07:23,70,69
366, FY Hse 65-70 , D Floor,2018-11-01 00:07:23,99,98
382, FY Hse 65-70 , E Floor,2018-11-01 00:07:23,64,64
437, FY Hse 65-70 , F Floor,2018-11-01 00:07:23,53,53
517, Faraday and cTAP , A floor,2018-11-01 00:07:23,2,2
320, Faraday and cTAP , B floor,2018-11-01 00:07:23,6,5
334, Faraday and cTAP , C floor,2018-11-01 00:07:23,5,5
417, Faraday and cTAP , Plant,2018-11-01 00:07:23,0,0
509, Field Station , Outside,2018-11-01 00:07:23,0,0
471, Furness , A Floor,2018-11-01 00:07:23,9,9
511, Furness , B floor,2018-11-01 00:07:23,3,3
291, Furness , C floor,2018-11-01 00:07:23,29,28
364, Furness , D floor,2018-11-01 00:07:23,19,19
327, Furness , LG Floor,2018-11-01 00:07:23,10,10
418, Furness outer , A floor,2018-11-01 00:07:23,34,34
367, Furness outer , B floor,2018-11-01 00:07:23,47,46
349, Furness outer , C floor,2018-11-01 00:07:23,47,46
317, Furness outer , D floor,2018-11-01 00:07:23,42,40
354, Fylde , A Floor,2018-11-01 00:07:23,1,1
363, Fylde , B Floor,2018-11-01 00:07:23,4,4
473, Fylde , C Floor,2018-11-01 00:07:23,12,12
347, Fylde , D Floor,2018-11-01 00:07:23,8,7
274, Fylde , e floor,2018-11-01 00:07:23,1,1
416, George Fox , A Floor,2018-11-01 00:07:23,0,0
469, George Fox , B Floor,2018-11-01 00:07:23,2,2
325, George Fox , c floor,2018-11-01 00:07:23,36,36
523, George Fox , d floor,2018-11-01 00:07:23,51,48
370, Graduate College , A Floor,2018-11-01 00:07:23,133,130
431, Graduate College , b floor,2018-11-01 00:07:23,176,176
365, Graduate College , c floor,2018-11-01 00:07:23,175,174
504, Graduate College , d floor,2018-11-01 00:07:23,83,83
470, Great Hall , A Floor,2018-11-01 00:07:23,3,3
324, Great Hall , B Floor,2018-11-01 00:07:23,2,2
313, Grizedale , A,2018-11-01 00:07:23,4,4
425, Grizedale , B,2018-11-01 00:07:23,5,3
383, Hazelrigg , Site,2018-11-01 00:07:23,0,0
398, Hse 75 77 , A Floor,2018-11-01 00:07:23,28,28
336, Hse 75 77 , B floor,2018-11-01 00:07:23,45,45
445, Hse 75 77 , C Floor,2018-11-01 00:07:23,48,48
340, Hse 75 77 , D Floor,2018-11-01 00:07:23,71,71
465, Hse 75 77 , E Floor,2018-11-01 00:07:23,63,62
391, Human Resources , A floor,2018-11-01 00:07:23,0,0
467, Human Resources , B floor,2018-11-01 00:07:23,2,2
319, ISS Building , A-floor,2018-11-01 00:07:23,3,3
451, ISS Building , B-floor,2018-11-01 00:07:23,15,14
419, ISS Building , C-floor,2018-11-01 00:07:23,4,4
456, Infolab , A Floor,2018-11-01 00:07:23,1,1
407, Infolab , B Floor,2018-11-01 00:07:23,9,9
331, Infolab , C Floor,2018-11-01 00:07:23,8,8
341, Infolab , D Floor,2018-11-01 00:07:23,5,5
345, Institute for Advanced Studies , A Floor,2018-11-01 00:07:23,0,0
396, John Creed , a floor,2018-11-01 00:07:23,37,36
304, John Creed , b floor,2018-11-01 00:07:23,23,23
290, John Creed , c floor,2018-11-01 00:07:23,23,23
263, John Creed , d floor,2018-11-01 00:07:23,26,26
459, LEC , A Floor,2018-11-01 00:07:23,8,8
358, LEC , B Floor,2018-11-01 00:07:23,11,10
270, LEC , C Floor,2018-11-01 00:07:23,5,5
409, LEC , Lower Ground LG,2018-11-01 00:07:23,2,2
489, LICA , LICA A floor,2018-11-01 00:07:23,0,0
508, LICA , b floor,2018-11-01 00:07:23,4,4
505, LICA , c floor,2018-11-01 00:07:23,0,0
411, Library , A floor,2018-11-01 00:07:23,21,20
348, Library , B floor,2018-11-01 00:07:23,26,25
433, Library , C floor,2018-11-01 00:07:23,16,16
400, Library , LG floor,2018-11-01 00:07:23,0,0
499, Lonsdale College (SW) , A Floor,2018-11-01 00:07:23,3,3
481, Lonsdale College (SW) , B Floor,2018-11-01 00:07:23,1,0
267, MDC , A Floor,2018-11-01 00:07:23,2,2
315, Management School , A Floor,2018-11-01 00:07:23,11,10
487, Management School , B Floor,2018-11-01 00:07:23,2,2
461, Management School , C Floor,2018-11-01 00:07:23,1,1
368, Management School , Floor D,2018-11-01 00:07:23,1,1
335, Pendle , A Floor,2018-11-01 00:07:23,74,71
488, Pendle , B floor,2018-11-01 00:07:23,96,95
328, Pendle , C floor,2018-11-01 00:07:23,92,90
494, Pendle , D floor,2018-11-01 00:07:23,108,104
515, Physics , A floor,2018-11-01 00:07:23,6,6
421, Physics , B floor,2018-11-01 00:07:23,5,5
502, Physics , C Floor,2018-11-01 00:07:23,7,7
362, Physics , D Floor,2018-11-01 00:07:23,1,1
513, Postgrad Stats (PSC) , A Floor,2018-11-01 00:07:23,0,0
285, Postgrad Stats (PSC) , B Floor,2018-11-01 00:07:23,2,2
303, Preschool , A floor,2018-11-01 00:07:23,31,31
314, Reception , A floor,2018-11-01 00:07:23,0,0
518, Reception , B floor,2018-11-01 00:07:23,0,0
339, Ruskin Library , A Floor,2018-11-01 00:07:23,0,0
279, Ruskin Library , B floor,2018-11-01 00:07:23,0,0
415, Ruskin Library , LG Floor,2018-11-01 00:07:23,0,0
277, SW hse 12-16 , A floor,2018-11-01 00:07:23,61,59
439, SW hse 12-16 , B floor,2018-11-01 00:07:23,98,98
278, SW hse 12-16 , C floor,2018-11-01 00:07:23,107,105
392, SW hse 17-19 , A floor,2018-11-01 00:07:23,52,51
463, SW hse 17-19 , B floor,2018-11-01 00:07:23,82,82
377, SW hse 17-19 , C floor,2018-11-01 00:07:23,52,52
393, SW hse 20 , A floor,2018-11-01 00:07:23,11,11
426, SW hse 20 , B floor,2018-11-01 00:07:23,26,26
435, SW hse 20 , C floor,2018-11-01 00:07:23,19,19
373, SW hse 21-23 , A floor,2018-11-01 00:07:23,42,42
308, SW hse 21-23 , B floor,2018-11-01 00:07:23,30,29
353, SW hse 21-23 , C,2018-11-01 00:07:23,35,33
491, SW hse 21-23 , C,2018-11-01 00:07:23,35,33
306, SW hse 24-26 , A,2018-11-01 00:07:23,29,29
482, SW hse 24-26 , B floor,2018-11-01 00:07:23,36,36
381, SW hse 24-26 , C floor,2018-11-01 00:07:23,50,50
286, SW hse 24-26 , D Floor,2018-11-01 00:07:23,35,35
492, SW hse 27-28 , A floor,2018-11-01 00:07:23,21,20
295, SW hse 27-28 , B floor,2018-11-01 00:07:23,48,47
475, SW hse 27-28 , C floor,2018-11-01 00:07:23,31,31
413, SW hse 27-28 , D Floor,2018-11-01 00:07:23,34,34
397, SW hse 29 , A floor,2018-11-01 00:07:23,20,20
384, SW hse 29 , B floor,2018-11-01 00:07:23,28,28
443, SW hse 29 , C floor,2018-11-01 00:07:23,28,28
275, SW hse 29 , D Floor,2018-11-01 00:07:23,26,25
386, SW hse 30-31 , A floor,2018-11-01 00:07:23,30,30
430, SW hse 30-31 , B floor,2018-11-01 00:07:23,48,48
272, SW hse 30-31 , C floor,2018-11-01 00:07:23,60,59
458, SW hse 30-31 , D floor,2018-11-01 00:07:23,68,66
346, SW hse 32-33 , A Floor,2018-11-01 00:07:23,17,17
374, SW hse 32-33 , B Floor,2018-11-01 00:07:23,41,41
342, SW hse 32-33 , C Floor,2018-11-01 00:07:23,36,35
420, SW hse 32-33 , D Floor,2018-11-01 00:07:23,12,12
302, SW hse 34 , A Floor,2018-11-01 00:07:23,6,6
350, SW hse 34 , B Floor,2018-11-01 00:07:23,14,14
299, SW hse 35 , A Floor,2018-11-01 00:07:23,12,12
379, SW hse 35 , B Floor,2018-11-01 00:07:23,11,11
436, SW hse 35 , C Floor,2018-11-01 00:07:23,14,14
312, SW hse 36 , A Floor,2018-11-01 00:07:23,5,4
337, SW hse 36 , B Floor,2018-11-01 00:07:23,19,19
265, SW hse 36 , C Floor,2018-11-01 00:07:23,17,17
476, SW hse 36 , D Floor,2018-11-01 00:07:23,23,22
389, SW hse 37-38 , A Floor,2018-11-01 00:07:23,18,15
422, SW hse 37-38 , B Floor,2018-11-01 00:07:23,30,30
273, SW hse 37-38 , C Floor,2018-11-01 00:07:23,32,32
297, SW hse 37-38 , D Floor,2018-11-01 00:07:23,25,25
296, SW hse 39 , A Floor,2018-11-01 00:07:23,15,15
428, SW hse 39 , B Floor,2018-11-01 00:07:23,17,17
321, SW hse 39 , C Floor,2018-11-01 00:07:23,25,25
486, SW hse 39 , D Floor,2018-11-01 00:07:23,12,12
281, SW hse 40-42 , A Floor,2018-11-01 00:07:23,33,33
293, SW hse 40-42 , B Floor,2018-11-01 00:07:23,53,51
326, SW hse 40-42 , C Floor,2018-11-01 00:07:23,65,65
307, SW hse 40-42 , D Floor,2018-11-01 00:07:23,28,27
434, SW hse 43-45 , A Floor,2018-11-01 00:07:23,30,30
322, SW hse 43-45 , B Floor,2018-11-01 00:07:23,42,41
292, SW hse 43-45 , C Floor,2018-11-01 00:07:23,62,59
338, SW hse 43-45 , D Floor,2018-11-01 00:07:23,32,32
520, SW hse 46-49 , A floor,2018-11-01 00:07:23,46,46
484, SW hse 46-49 , B floor,2018-11-01 00:07:23,74,72
453, SW hse 46-49 , C floor,2018-11-01 00:07:23,70,70
432, SW hse 46-49 , D floor,2018-11-01 00:07:23,59,57
501, SW hse 50-52 , A Floor,2018-11-01 00:07:23,44,43
394, SW hse 50-52 , B Floor,2018-11-01 00:07:23,49,48
477, SW hse 50-52 , C Floor,2018-11-01 00:07:23,71,71
525, SW hse 50-52 , D Floor,2018-11-01 00:07:23,35,35
390, SW hse 53-54 , A Floor,2018-11-01 00:07:23,11,11
441, SW hse 53-54 , B Floor,2018-11-01 00:07:23,19,19
359, SW hse 53-54 , C Floor,2018-11-01 00:07:23,28,28
512, SW hse 53-54 , D Floor,2018-11-01 00:07:23,24,24
300, SW hse 55-56 , A Floor,2018-11-01 00:07:23,24,24
424, SW hse 55-56 , B Floor,2018-11-01 00:07:23,39,39
506, SW hse 55-56 , C Floor,2018-11-01 00:07:23,27,27
282, SW hse-158-179 , B floor,2018-11-01 00:07:23,87,87
522, Science and technology , A Floor,2018-11-01 00:07:23,16,15
448, Science and technology , B Floor,2018-11-01 00:07:23,4,4
423, Science and technology , C Floor,2018-11-01 00:07:23,9,8
323, Slaidburn House (LUSU) , B Floor,2018-11-01 00:07:23,9,9
316, Slaidburn House (LUSU) , C floor,2018-11-01 00:07:23,16,15
480, Slaidburn House (LUSU) , D floor,2018-11-01 00:07:23,9,9
452, Slaidburn House (LUSU) , E floor,2018-11-01 00:07:23,14,14
298, Slaidburn House (LUSU) , LG Floor,2018-11-01 00:07:23,19,18
344, Sports Centre , A floor,2018-11-01 00:07:23,2,2
283, Sports Centre , B floor,2018-11-01 00:07:23,0,0
460, University House , A Floor,2018-11-01 00:07:23,2,2
288, University House , B Floor,2018-11-01 00:07:23,1,1
524, University House , C Floor,2018-11-01 00:07:23,6,4
405, University House , D Floor,2018-11-01 00:07:23,2,2
343, Whewell , A Floor,2018-11-01 00:07:23,0,0
404, Whewell , B Floor,2018-11-01 00:07:23,2,2
447, grize-res , A Floor,2018-11-01 00:07:23,79,76
311, grize-res , B Floor,2018-11-01 00:07:23,95,93
355, grize-res , C Floor,2018-11-01 00:07:23,98,98
516, grize-res , D Floor,2018-11-01 00:07:23,106,105
699, Alex Square , Alex Square,2018-11-01 00:12:16,5,4
680, Alex Square , Costa,2018-11-01 00:12:16,10,10
535, Bailrigg House , A floor,2018-11-01 00:12:16,0,0
767, Bailrigg House , B floor,2018-11-01 00:12:16,0,0
734, Bailrigg House , c floor,2018-11-01 00:12:16,0,0
693, Barker House Farm , A Floor,2018-11-01 00:12:16,5,5
543, Bowland Annexe , A Floor,2018-11-01 00:12:16,1,1
721, Bowland Annexe , B Floor,2018-11-01 00:12:16,5,5
731, Bowland Annexe , c floor,2018-11-01 00:12:16,26,26
641, Bowland Annexe , d floor,2018-11-01 00:12:16,29,29
713, Bowland Ash , A floor,2018-11-01 00:12:16,5,4
679, Bowland Ash , B floor,2018-11-01 00:12:16,18,17
533, Bowland Ash , c floor,2018-11-01 00:12:16,24,24
704, Bowland Ash , d floor,2018-11-01 00:12:16,30,30
598, Bowland Main , A Floor,2018-11-01 00:12:16,6,6
645, Bowland Main , B Floor,2018-11-01 00:12:16,16,15
762, Bowland Main , C Floor,2018-11-01 00:12:16,70,69
667, Bowland Main , D Floor,2018-11-01 00:12:16,27,27
669, Bowland North , A Floor,2018-11-01 00:12:16,1,1
755, Bowland North , B Floor,2018-11-01 00:12:16,0,0
546, Bowland North , C Floor,2018-11-01 00:12:16,5,4
725, Bowland North , d floor,2018-11-01 00:12:16,23,22
750, Bowland Twr (Old Bowland Annexe) , A floor,2018-11-01 00:12:16,0,0
596, Bowland Twr (Old Bowland Annexe) , B floor,2018-11-01 00:12:16,24,23
576, Bowland Twr (Old Bowland Annexe) , C floor,2018-11-01 00:12:16,39,39
735, Bowland Twr (Old Bowland Annexe) , D floor,2018-11-01 00:12:16,5,5
538, Bowland Twr (Old Bowland Annexe) , D floor flats,2018-11-01 00:12:16,3,3
736, Bowland Twr (Old Bowland Annexe) , E floor,2018-11-01 00:12:16,5,5
764, Bowland Twr (Old Bowland Annexe) , F floor,2018-11-01 00:12:16,9,9
554, Bowland Twr (Old Bowland Annexe) , G floor,2018-11-01 00:12:16,2,2
575, Bowland Twr (Old Bowland Annexe) , H floor,2018-11-01 00:12:16,6,6
579, Bowland Twr (Old Bowland Annexe) , J floor,2018-11-01 00:12:16,10,10
788, Bowland Twr (Old Bowland Annexe) , K floor,2018-11-01 00:12:16,7,7
656, Bowland Twr (Old Bowland Annexe) , L floor,2018-11-01 00:12:16,8,8
691, Bowland Twr (Old Bowland Annexe) , M floor,2018-11-01 00:12:16,3,3
663, Bowland Twr (Old Bowland Annexe) , N floor,2018-11-01 00:12:16,3,3
532, Bowland Twr (Old Bowland Annexe) , O floor,2018-11-01 00:12:16,6,6
763, Bowland hall , a floor,2018-11-01 00:12:16,56,56
747, Bowland hall , b floor,2018-11-01 00:12:16,56,55
701, Bowland hall , c floor,2018-11-01 00:12:16,80,79
631, Bowland hall , d floor,2018-11-01 00:12:16,66,65
758, CETAD , A floor,2018-11-01 00:12:16,1,1
717, CETAD , B floor,2018-11-01 00:12:16,2,2
587, Central Workshops , A floor,2018-11-01 00:12:16,20,20
553, Central Workshops , B floor,2018-11-01 00:12:16,0,0
781, Chaplaincy Centre , A Floor,2018-11-01 00:12:16,2,2
626, Chaplaincy Centre , B Floor,2018-11-01 00:12:16,0,0
545, Charles Carter , A floor,2018-11-01 00:12:16,1,0
614, Charles Carter , B floor,2018-11-01 00:12:16,0,0
664, Charles Carter , C floor,2018-11-01 00:12:16,0,0
662, Charles Carter , D floor,2018-11-01 00:12:16,6,6
716, Conference Centre , A Floor,2018-11-01 00:12:16,4,3
648, County , A Floor,2018-11-01 00:12:16,16,15
633, County , B Floor,2018-11-01 00:12:16,23,21
659, County , D floor,2018-11-01 00:12:16,51,49
756, County , E Floor,2018-11-01 00:12:16,22,22
707, County , c floor,2018-11-01 00:12:16,32,30
745, County Field , A floor,2018-11-01 00:12:16,48,44
674, County Field , B floor,2018-11-01 00:12:16,59,58
726, County Field , C floor,2018-11-01 00:12:16,71,70
569, County Field , D floor,2018-11-01 00:12:16,83,83
741, County South/Cartmel , A Floor,2018-11-01 00:12:16,11,10
652, County South/Cartmel , B Floor,2018-11-01 00:12:16,2,2
643, County South/Cartmel , C Floor,2018-11-01 00:12:16,5,5
564, County South/Cartmel , D Floor,2018-11-01 00:12:16,14,14
761, County South/Cartmel , e floor,2018-11-01 00:12:16,8,8
617, Energy Centre , A floor,2018-11-01 00:12:16,0,0
585, Engineering , A floor,2018-11-01 00:12:16,1,1
